Screen #,Module,Screen Name,Type,Priority,Development Status,Development Done By,Dev Testing Status,Dev Tested By,QA Testing Status,QA Tested By
33,Communication,WhatsApp Conversations,FLOW,P3-Business,In Progress (Partial),,Not Started,,Not Started,
34,Communication,WhatsApp Setup,Config,P2-Core,In Progress (Partial),,Not Started,,Not Started,
35,Communication,Notification Center,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
36,Communication,Notification Templates,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
37,Communication,Automation Workflow,FLOW,P4-Advanced,In Progress (Partial),,Not Started,,Not Started,
38,Communication,Email Analytics,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
39,Organization,Campaign,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
40,Organization,Event,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
41,Organization,Branch,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
42,Organization,Staff,FLOW,P5-Alignment,Ready to Build,,Not Started,,Not Started,
43,Organization,Staff Category,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
44,Organization,Organizational Unit,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
45,Organization,Company,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
46,Organization,Event Ticketing,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
47,Organization,Event Analytics,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
48,Organization,Auction Management,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
49,Case Management,Beneficiary,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
50,Case Management,Case,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
51,Case Management,Program,MASTER_GRID,P1-Setup,Completed,Karthick,Pending,,Not Started,
52,Case Management,Case Dashboard,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
53,Volunteer,Volunteer,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
54,Volunteer,Volunteer Schedule,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
55,Volunteer,Hour Tracking,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
56,Volunteer,Volunteer Conversion,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
57,Volunteer,Volunteer Dashboard,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
58,Membership,Membership Tier,MASTER_GRID,P1-Setup,Completed,Karthick,Pending,,Not Started,
59,Membership,Member Enrollment,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
60,Membership,Membership Renewal,MASTER_GRID,P3-Business,Completed,Karthick,Pending,,Not Started,
61,Membership,Member Portal,FLOW,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
62,Grants,Grant,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
63,Grants,Grant Report,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
64,Grants,Grant Calendar,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
65,Field Collection,Field Collection,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
66,Field Collection,Receipt Book,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
67,Field Collection,Ambassador,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
68,Field Collection,Collection Distribution,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
69,Field Collection,Ambassador Dashboard,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
70,Administration,Role Management,MASTER_GRID,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
71,Administration,Menu Management,MASTER_GRID,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
72,Administration,User Management,FLOW,P2-Core,In Progress (Partial),,Not Started,,Not Started,
73,Administration,Role-Capability Matrix,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
74,Administration,Audit Trail,FLOW,P3-Business,Not Started,,Not Started,,Not Started,
75,Administration,Company Settings,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
76,Settings,Master Data,MASTER_GRID,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
77,Settings,Grid Config,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
78,Settings,Dashboard Config,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
79,Settings,Currency Management,MASTER_GRID,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
80,Settings,Region Hierarchy,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
81,Settings,Document Types,MASTER_GRID,P1-Setup,In Progress (Partial),,Not Started,,Not Started,
82,Settings,Custom Fields,Config,P3-Business,In Progress (Partial),,Not Started,,Not Started,
83,Settings,Certificate Templates,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
84,Settings,Email Provider Config,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
85,Settings,Organization Settings,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
86,Settings,API Management,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
87,Settings,Integration Marketplace,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
88,Settings,Accounting Integration,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
89,Settings,Social Media Integration,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
90,AI Intelligence,Engagement Scoring,FLOW,P4-Advanced,In Progress (Partial),,Not Started,,Not Started,
91,AI Intelligence,Churn Prediction,FLOW,P4-Advanced,In Progress (Partial),,Not Started,,Not Started,
92,AI Intelligence,Action Board,FLOW,P4-Advanced,In Progress (Partial),,Not Started,,Not Started,
93,AI Intelligence,AI Draft,FLOW,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
94,AI Intelligence,NL Reporting,FLOW,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
95,AI Intelligence,Predictive Analytics,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
96,Reports,Custom Report Builder,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
97,Reports,PowerBI Viewer,Config,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
98,Reports,Donor Retention Dashboard,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
99,Reports,Report Catalog,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
100,Reports,HTML Report Viewer,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
101,Reports,Scheduled Reports,Config,P4-Advanced,Upcoming (Config),,N/A (Upcoming),,N/A (Upcoming),
102-118,Mobile,Donor App (8 screens) + Agent App (9 screens),Mobile,—,Upcoming (Mobile),,N/A (Upcoming),,N/A (Upcoming),
119,Root / Layout,Login,Auth,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
120,Root / Layout,Main Dashboard,Dashboard,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
121,Root / Layout,App Layout,Layout,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
122,Contacts,Contact Source,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
